주문번호,종목이름,임시,거래량,거래대금,종가,기준가
119650,KC코트렐,1369,287050,2093,7200,7280
092220,KEC,3486,1070828,1152,1080,1065
046440,KG모빌리언스,319,23912,146,6080,6150
035600,KG이니시스,4982,100145,1628,16300,16350
001390,KG케미칼,635,60667,679,11300,11550
060720,KH바텍,6559,1017936,13748,13300,13400
001940,KISCO홀딩스,366,15664,201,12900,12650
122450,KMH,223,29440,158,5340,5390
052900,KMH하이텍,1403,1125355,1309,1165,1180
058400,KNN,5614,2125090,2511,1170,1175
114450,KPX생명과학,504,97918,394,4040,4105
025000,KPX케미칼,47,733,40,54000,54300
092230,KPX홀딩스,23,246,13,54200,54100
000040,KR모터스,196,128546,65,503,506
044450,KSS해운,893,30424,227,7430,7540
030200,KT,6636,573699,15428,26850,26900
033780,KT&G,7776,139330,14400,103500,103000
030210,KTB투자증권,539,53603,132,2465,2495
036030,KTH,321,32450,201,6120,6250
058850,KTcs,410,44301,89,2000,1995
058860,KTis,139,22758,50,2220,2215
060370,KT서브마린,147,17327,53,3060,3080
093050,LF,2040,35292,696,19650,19700
003550,LG,5715,159894,11138,69700,69700
034220,LG디스플레이,8915,872929,12428,14150,14300
001120,LG상사,2864,112997,1798,15950,15950
051900,LG생활건강,2959,20007,25678,1275000,1286000
051905,LG생활건강우,406,1022,770,756000,750000
003555,LG우,244,2923,130,44500,44600
032640,LG유플러스,9332,802619,11136,13850,13850
011070,LG이노텍,3818,140052,16904,121500,122000
066570,LG전자,14421,540959,37322,68800,70300
066575,LG전자우,627,21944,623,28300,28800
108670,LG하우시스,1461,11743,694,58700,59100
108675,LG하우시스우,90,172,5,28650,28750
051910,LG화학,8901,124348,37884,304000,303000
051915,LG화학우,3581,13435,2261,168000,167000
079550,LIG넥스원,6098,107537,3778,34850,35500
006260,LS,3807,31620,1526,48050,48200
000680,LS네트웍스,382,17251,42,2420,2415
010120,LS산전,3111,36595,1776,48400,48200
229640,LS전선아시아,1899,135183,1067,7870,7820
023150,MH에탄올,37,1310,8,5990,5950
219550,MP한강,400,72853,53,734,745
035420,NAVER,9854,280065,43126,153000,154500
160550,NEW,585,66134,261,3945,3880
053290,NE능률,86,10094,32,3195,3190
181710,NHN,2411,38339,2290,59600,60000
104200,NHN벅스,59,5378,32,6070,6070
060250,NHN한국사이버결제,8434,441558,8371,18800,19400
005940,NH투자증권,4494,412472,5157,12550,12600
005945,NH투자증권우,325,25959,234,9040,9030
034310,NICE,1499,31181,590,18800,19050
030190,NICE평가정보,4667,289925,3562,12150,12750
